name,logP,logD,Vd,PPB,MW,theory_score,ile_prob,category,ad_flag,rank
2-(l-menthoxy)ethanol,2.456,2.414,7.734,70.524,200.3,51.9,88.9,High,ok,877
Chlordiazepoxide,2.951,2.412,3.037,91.163,299.8,64.9,88.9,High,ok,878
Acitretin,5.167,2.409,-4.204,102.319,326.4,80.3,88.8,High,ok,879
Tenofovir alafenamide,2.973,2.41,2.34,78.91,476.5,68.5,88.8,High,ok,880
Talazoparib,2.629,2.406,3.298,91.574,380.4,63.6,88.8,High,ok,881
Aprocitentan,2.532,2.405,1.774,96.713,546.2,72.2,88.8,High,ok,882
Mazindol,2.609,2.408,3.194,81.56,284.7,64.1,88.8,High,ok,883
Paltusotine,5.352,2.408,6.783,96.29,456.5,53.6,88.8,High,ok,884
Bupivacaine,3.897,2.4,2.062,68.461,288.4,69.9,88.7,High,ok,885
Ritlecitinib,1.935,2.403,14.098,76.98,285.4,48.1,88.7,High,ok,886
Ioflupane I-123,3.76,2.397,15.905,84.551,427.3,47.9,88.7,High,ok,887
